,id,code,officialName,type,latitude,longitude
8,5dd30650e0fdc4b9b4be6e2a,15537,Pont Jacques-Cartier,TEMPORARY,45.522353,-73.54289
153,5cebf1e03d0f4a073c4bbdee,15540,Montréal rue Frontenac,PERMANENT,45.528667,-73.5425
210,5dd3064de0fdc4b9b4be6643,15630,Pointe-aux-Trembles,PERMANENT,45.632667,-73.4905
326,5cebf1de3d0f4a073c4bbae6,03110,Saint-Laurent I.O.,PERMANENT,46.85816667,-71.00333333
331,5cebf1df3d0f4a073c4bbb76,03335,Deschaillons-sur-Saint-Laurent,PERMANENT,46.561033,-72.106222
347,5cebf1e03d0f4a073c4bbe1b,15780,Contrecoeur IOC,PERMANENT,45.832667,-73.283167
366,5cebf1e23d0f4a073c4bc0df,03265,Pont de Québec,VIRTUAL,46.745581,-71.287938
387,5cebf1e03d0f4a073c4bbe49,15975,Lac Saint-Pierre,PERMANENT,46.194833,-72.8955
400,5cebf1e03d0f4a073c4bbdd7,15520,Montréal Jetée #1,PERMANENT,45.5035,-73.552528
455,5cebf1e03d0f4a073c4bbdc0,03365,Port-Saint-François,PERMANENT,46.2725,-72.619333
474,5cebf1e43d0f4a073c4bc41a,03075,Banc du Cap Brûlé,SEASONAL,47.0895,-70.710833
500,5cebf1df3d0f4a073c4bbb56,03300,Portneuf,PERMANENT,46.681167,-71.877167
502,5cebf1de3d0f4a073c4bbaaa,03057,Saint-Joseph-de-la-Rive,PERMANENT,47.448833,-70.3655
647,5cebf1e03d0f4a073c4bbe04,15660,Varennes,PERMANENT,45.684306,-73.443694
685,5dd30650e0fdc4b9b4be6e21,03362,Pont Laviolette,VIRTUAL,46.307791,-72.56122
718,5cebf1e03d0f4a073c4bbda9,03353,Bécancour,PERMANENT,46.400333,-72.3795
734,5cebf1e23d0f4a073c4bc0f6,03248,Vieux-Québec,PERMANENT,46.811111,-71.20175
767,5cebf1df3d0f4a073c4bbb91,03345,Batiscan,PERMANENT,46.500333,-72.245833
805,5cebf1df3d0f4a073c4bbb38,03280,Neuville,PERMANENT,46.6965,-71.572833
883,5cebf1de3d0f4a073c4bbad5,03100,Saint-François I.O.,PERMANENT,46.9965,-70.808167
885,5cebf1e03d0f4a073c4bbe32,15930,Sorel,PERMANENT,46.047167,-73.115667
954,5cebf1df3d0f4a073c4bbbac,03360,Trois-Rivières,PERMANENT,46.3405,-72.539167
975,5ec57dff511c1b05269d0073,03104,Bouée K136,VIRTUAL,46.924833,-70.869
1035,5ec57f12511c1b05269d0bf1,03072,Bouée K92,VIRTUAL,47.158517,-70.658167
